no	ID	tube_label	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
92	IH-1-1	ST2L28	IH	IH	7	4	157	1	IH	0.2	1.26	6.1	2.4	10	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
76	IH-2-1	ST1L30	IH	IH	9	4	154	2	IH	0.2	1.63	5.3	2.6	9	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
50	IH-7-1	ST5L6	IH	IH	21	4	165	7	IH	0.3	1.58	6.3	1.8	10	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	5.956521739
81	IH-5-1	ST3L7	IH	IH	35	4	158	5	IH	0.21	1.31	6.9	1.8	11	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
146	IH-4-1	ST16L9	IH	IH	83	4	195	4	IH	0.35	1.08	5.3	1.7	7	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	11
38	IH-3-1	ST8L20	IH	IH	90	4	173	3	IH	0.25	1.23	6.1	2	10	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	16.70422535
44	IH-10-1	ST7L9	IH	IH	123	4	167	10	IH	0.2	1.11	5.7	1.9	8	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
86	IH-8-1	ST1L29	IH	IH	124	4	153	8	IH	0.25	1.06	5.4	1.9	12	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
120	IH-6-1	ST8L31	IH	IH	132	4	175	6	IH	0.26	0.98	3	2.1	11	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
98	IH-9-1	ST14L33	IH	IH	142	4	191	9	IH	0.4	1.54	6.2	2.8	9	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
55	SHA-1-2	ST4L44	IH	IH	57	4	386	1	SHA	0.23	1.35	5.8	2.1	12	1	0	0	SHA	454.1298385	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	5.562111801
93	KC2-1-1	ST1L25	KC2	KC2	2	5	200	1	KC2	0.16	2.23	9.3	2.5	15	1	1	1	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	7.698453608
119	KC2-11-1	ST7L40	KC2	KC2	15	5	205	11	KC2	0.34	1.22	5	2.8	7	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.017605634
42	KC2-12-1	ST6L4	KC2	KC2	28	5	204	12	KC2	0.27	1.23	7.8	1.8	12	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	10.65151515
39	KC2-18-1	ST4L39	KC2	KC2	30	5	202	18	KC2	0.3	1.4	5.6	2.1	7	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	8.767195767
97	KC2-11-2	ST10L14	KC2	KC2	75	5	206	11	KC2	0.28	1.5	4.4	3.2	9	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	14.736
30	KC2-12-2	ST10L28	KC2	KC2	85	5	207	12	KC2	0.28	1.67	9.8	2.4	10	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	8.554166667
25	KC2-9-1	ST11L30X1	KC2	KC2	127	5	208	9	KC2	0.29	1.72	16.7	1.7	14	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.155688623
184	KC2-9-1	ST11L30X2	KC2	KC2	147	5	208	9	KC2	0.29	1.72	16.7	1.7	14	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.155688623
