"","ID","mf","pop","lf_thickness","postvern_stem_diam","postvern_height","postvern_lngst_lf","postvern_no_lvs","postvern_no_brs","flrd_yn","died_during_drt","site","el","lat","long","cwd","ppt","pck","str","tmn","tmx","PC1","PC2","season_length","sla"
"18","BH-7-5",7,"BH",0.24,1.13,4.4,2,6,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"19","BH-5-1",5,"BH",0.33,1.22,9.1,2.4,16,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"18.2962963"
"20","BH-25-2",25,"BH",0.29,1.25,5.8,2.2,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"21","BH-25-4",25,"BH",0.24,1.13,3.5,0.7,21,2,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"22","BH-9-3",9,"BH",0.18,1.19,4.1,1.6,19,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"23","BH-15-2",15,"BH",0.21,1.3,6.6,2,17,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"24","BH-11-6",11,"BH",0.18,0.61,2.7,0.6,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"25","BH-30-1",30,"BH",0.31,1.63,6.5,2.3,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"9.702857143"
"26","BH-9-5",9,"BH",0.21,1.11,2,1.4,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"27","BH-1-1",1,"BH",0.22,1.32,4.2,2.1,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"18.91428571"
"28","BH-30-2",30,"BH",0.22,1.23,4.5,1.3,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"29","BH-17-4",17,"BH",0.1,0.88,1.3,1,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"27.7027027"
"30","BH-21-4",21,"BH",0.19,1.32,2.5,2.1,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"12.17307692"
"31","BH-11-2",11,"BH",0.13,0.77,2.3,1,8,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"32","BH-28-3",28,"BH",0.16,0.9,4,1.7,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"33","BH-9-1",9,"BH",0.16,0.89,1.9,1,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"34","BH-7-3",7,"BH",0.2,1.03,3.7,1.4,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"35","BH-11-1",11,"BH",0.19,0.78,2.5,1.3,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"36","BH-9-4",9,"BH",0.25,1.18,1.8,1.6,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"37","BH-17-1",17,"BH",0.25,0.86,2.6,1.1,15,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"38","BH-33-3",33,"BH",0.19,1.11,3.1,1.5,13,1,1,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"15.88888889"
"39","BH-19-4",19,"BH",0.18,0.88,2,0.7,8,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"40","BH-15-3",15,"BH",0.25,1.28,3.1,1.3,17,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"41","BH-1-3",1,"BH",0.26,1.35,3.9,2.4,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
