Population	tube_label	no	ID	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
LVTR	ST12L25	124	LVTR2-18-1	LVTR	LV	169	9	370	18	LVTR	0.4	1.37	3.4	1.1	11	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	14.51515152
WV	ST12L30	10	WV-12-2	WV	WV	68	17	710	12	WV	0.4	1.2	4	1.3	13	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	13.9084507
SQ1	ST12L33	1	SQ1-2-1	SQ1	SQ	139	11	431	2	SQ1	0.26	1.1	4.2	2.3	12	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	NA
LV3	ST12L36	179	LV3-12-1	LV3	LV	181	8	308	12	LV3	0.37	1.21	4.2	1.2	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	27.4
WL3	ST12L42	7	WL3-6-1	WL3	WL	31	16	683	6	WL3	0.31	0.87	4.2	1.6	10	1	1	0	WL	2137.762877	38.83528	-120.23824	17889.4400148392	37769.5100186635	59302.899992466	174783.149871826	1.90143630882791	13.8157452747105	0.441893276330429	-0.30435976067562	4.80645161290323	20.86813187
WL2	ST12L46	8	WL2-9-1	WL2	WL	159	15	627	9	WL2	0.38	1.23	4.1	1.7	16	1	1	0	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	12.52475248
LV3	ST12L5	128	LV3-5-1	LV3	LV	24	8	315	5	LV3	0.45	1.9	7.3	1.8	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	NA
SQ3	ST12L6	12	SQ3-15-1	SQ3	SQ	50	12	470	15	SQ3	0.41	1.5	6.5	2.4	26	5	0	0	SQ	2372.447425	36.72109	-118.84933	22219.2300357819	31726.2800664715	45308.0001066923	49655.7106018067	1.125311662814	13.4905420163783	0.377368783153491	1.52217645490411	4.41935483870968	NA
SQ3	ST13L11	137	SQ3-11-1	SQ3	SQ	136	12	471	11	SQ3	0.38	1.53	2.3	2.2	11	1	1	0	SQ	2372.447425	36.72109	-118.84933	22219.2300357819	31726.2800664715	45308.0001066923	49655.7106018067	1.125311662814	13.4905420163783	0.377368783153491	1.52217645490411	4.41935483870968	NA
LV1	ST13L12	107	LV1-2-1	LV1	LV	58	6	257	2	LV1	0.41	1.28	3.5	1.3	13	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
YO11	ST13L16	138	YO11-4-2	YO11	YO	1	20	799	4	YO11	0.53	2.25	5.1	1.5	39	9	0	0	YO	2872.295032	37.93844	-119.23157	20834.2600135803	24246.6000014134	65309.1998522561	100793.531387329	-2.84029810707562	10.5352032413166	1.03457473150151	1.37039537012269	5.64516129032258	6.426900585
LVTR	ST13L38	106	LVTR2.5-1-1	LVTR	LV	121	9	382	1	LVTR	0.44	1.58	3.5	1.4	9	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	NA
TM2	ST13L4	58	TM2-2-1	TM2	TM2	43	13	505	2	TM2	0.21	1.24	6.5	2	14	1	1	0	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	12.19130435
YO1	ST13L40	114	YO1-12-1	YO1	YO	76	18	738	12	YO1	0.33	1.3	8.3	1.5	50	7	1	0	YO	2140.505943	37.66374	-119.62484	19158.0299959183	33131.0599101894	42339.3702177405	163895.233428955	2.22271002452508	14.8313278693171	-0.0396204206786582	0.085707802567274	5.12903225806452	17.97619048
DPR	ST13L41	47	DPR-9-1	DPR	DPR	73	3	139	9	DPR	0.32	1.14	4.6	1.7	13	1	1	1	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	NA
LVTR	ST13L43	164	LVTR1.5-1-1	LVTR	LV	192	9	345	1	LVTR	0.36	1.27	4.3	1.1	11	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	20.09090909
WL1	ST13L45	99	WL1-7-1	WL1	WL	165	14	582	7	WL1	0.29	0.9	2.3	1	13	1	0	0	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
LV3	ST13L9	132	LV3-9-2	LV3	LV	177	8	317	9	LV3	0.27	1.19	3.6	1.4	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	13.10752688
TM2	ST14L10	122	TM2-5-1	TM2	TM2	59	13	509	5	TM2	0.21	1.4	9.1	9.3	9	1	1	0	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	27.37837838
BH	ST14L11	62	BH-15-1	BH	BH	141	1	54	15	BH	0.19	1.03	3	2.4	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
WL2	ST14L13	152	WL2-2-1	WL2	WL	84	15	631	2	WL2	0.47	1.08	5.2	2.1	14	1	1	0	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	NA
LVTR	ST14L16	129	LVTR1.75-4-2	LVTR	LV	52	9	358	4	LVTR	0.32	1.41	5	1.5	13	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	12.32098765
YO10	ST14L28	95	YO10-12-1	YO10	YO	40	19	777	12	YO10	0.26	1.92	3.4	1.2	33	3	1	0	YO	2968.302347	37.92097	-119.25454	NA	NA	NA	NA	NA	NA	NA	NA	5.48387096774194	16.61538462
IH	ST14L33	98	IH-9-1	IH	IH	142	4	191	9	IH	0.4	1.54	6.2	2.8	9	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	NA
WV	ST14L35	101	WV-11-1	WV	WV	115	17	712	11	WV	0.26	1.17	3.3	1.2	10	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	NA
SQ1	ST14L36	188	WL3-14-1	SQ1	SQ	180	11	688	14	WL3	0.51	1.75	3.3	1.3	34	2	1	0	WL	1921.036585	38.83528	-120.23824	17889.4400148392	37769.5100186635	59302.899992466	174783.149871826	1.90143630882791	13.8157452747105	0.441893276330429	-0.30435976067562	4.80645161290323	12.48387097
TM2	ST14L40	163	TM2-1-1	TM2	TM2	182	13	511	1	TM2	0.21	1.42	9.3	1.9	10	1	1	0	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	26.06976744
YO10	ST14L45	191	YO10-13-3	YO10	YO	67	19	779	13	YO10	0.43	1.16	3	1.4	14	1	0	0	YO	2968.302347	37.92097	-119.25454	NA	NA	NA	NA	NA	NA	NA	NA	5.48387096774194	14.71875
WL1	ST14L48	181	WL1-8-3	WL1	WL	183	14	590	8	WL1	0.24	1.2	3.1	2	11	1	1	0	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
WL2	ST15L17	4	WL2-11-1	WL2	WL	49	15	634	11	WL2	0.29	1.07	7.2	1.4	17	1	1	0	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	NA
YO11	ST15L18	131	YO11-3-1	YO11	YO	119	20	800	3	YO11	0.33	1.6	3.6	1.5	14	1	1	0	YO	2872.295032	37.93844	-119.23157	20834.2600135803	24246.6000014134	65309.1998522561	100793.531387329	-2.84029810707562	10.5352032413166	1.03457473150151	1.37039537012269	5.64516129032258	12.02857143
DPR	ST15L21	52	DPR-7-1	DPR	DPR	74	3	146	7	DPR	0.4	1.38	7.4	1.7	14	1	1	0	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	13.61073826
LV1	ST15L25	66	LV1-9-1	LV1	LV	36	6	270	9	LV1	0.37	1.09	1.4	1.1	9	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
TM2	ST15L31	140	TM2-7-1	TM2	TM2	82	13	518	7	TM2	0.24	0.9	7.6	7.7	12	1	1	0	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	16.96190476
WL2	ST15L33	49	WL2-3-1	WL2	WL	6	15	635	3	WL2	0.35	1.37	3.3	1.8	13	1	1	0	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	18.25287356
